Year,Month,Day,DayOfWeek,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Press_Max,Press_Avg,Press_Min,Precip,Holiday
2019,1,23,4,12,7.4,-1,10,4.7,-3,93,84.1,59,33,22.1,11,998.9,991.5,987.5,2.29,0
2019,1,24,5,2,-1.3,-4,-3,-6.1,-10,85,71.1,56,31,21,13,1002.5,997.1,991.2,19.56,0
2019,1,25,6,-2,-5.4,-10,-11,-14.7,-17,63,49.5,36,30,14.9,0,1010.2,1006.9,1003.5,0,0
2019,1,26,7,6,0.9,-3,-3,-5.5,-11,75,62.7,51,28,14.2,7,1005.5,1002.8,997.2,0,0
2019,1,27,1,5,1.5,-2,1,-4.3,-7,77,66.2,59,35,13.8,0,1002.5,1000.3,998.2,0,0
2019,1,28,2,12,3.7,-3,3,-2,-9,85,69,47,44,20.9,0,997.9,992.4,987.9,0,0
2019,1,29,3,-3,-5.8,-9,-7,-12.3,-16,89,61.7,37,37,22.8,9,1002.8,1000.1,997.2,1.02,0
2019,1,30,4,-6,-12.3,-16,-8,-18.6,-26,85,61.6,41,43,21.4,7,1012.1,1006.3,999.9,1.27,0
2019,1,31,5,-4,-9.4,-15,-11,-16.8,-22,61,55.7,50,15,6.6,0,1014.1,1011.1,1005.2,0,0
2019,2,1,6,4,-0.7,-3,-1,-3.8,-10,92,80.6,60,11,5.5,0,1008.8,1007,1004.8,0,0
2019,2,2,7,14,2.6,-2,5,0,-2,96,85,53,9,5.9,0,1008.2,1005.6,1000.5,0.51,0
2019,2,3,1,21,12.3,5,7,4.4,2,79,61.2,36,22,8.6,0,1000.5,998.3,996.2,0,0
2019,2,4,2,16,13.9,8,13,10.8,5,87,81.8,72,22,12.7,0,996.9,994.8,992.9,0,0
2019,2,5,3,16,11.9,9,14,10,7,96,89.3,83,24,7.7,0,1001.5,998.2,995.5,1.78,0
2019,2,6,4,18,15.9,11,17,13.8,10,97,87.5,75,24,10.7,0,996.2,994.4,992.5,3.3,0
2019,2,7,5,21,15.2,2,17,13.1,-1,97,87.5,71,52,20.9,0,1001.8,992.5,989.2,13.97,0
2019,2,8,6,1,-3.3,-7,-4,-10.2,-12,72,60.2,47,33,22.5,11,1023.5,1014.7,1004.2,31.75,0
2019,2,9,7,2,-3.2,-8,-9,-11.3,-13,71,54.5,39,19,13,6,1026.8,1022.9,1017.5,0,0
2019,2,10,1,6,1.3,-3,4,-2.6,-10,93,75.8,56,15,7.8,0,1017.1,1010.3,1003.5,0,0
2019,2,11,2,11,7.6,6,9,6.5,4,97,92.4,89,11,6.4,0,1003.5,999,990.9,20.57,0
2019,2,12,3,14,10,2,13,7.2,-5,93,83.1,61,52,23.8,0,997.2,988.7,985.2,50.55,0
2019,2,13,4,6,2.4,-1,-4,-6.8,-9,70,51.8,41,37,21.4,6,1002.8,1000.5,997.2,7.37,0
2019,2,14,5,15,10.1,3,3,-2.5,-5,60,42.5,25,37,20.8,0,999.2,991.8,986.9,0,0
2019,2,15,6,13,5.1,-1,7,-0.6,-7,86,67.2,43,28,17.3,7,996.9,993.4,987.9,0,0
2019,2,16,7,6,1.6,-2,-6,-6.7,-8,69,55.8,41,22,16.1,7,999.2,997,995.9,0.25,0
2019,2,17,1,5,2.7,0,3,-0.7,-6,93,78.7,66,24,10.7,0,996.2,991.9,988.9,0,0
2019,2,18,2,3,1.6,-1,-2,-4.2,-7,79,66.4,50,30,19.1,7,1015.5,1006.5,997.5,0,0
2019,2,19,3,4,1,-2,-2,-5.8,-8,78,61.7,45,19,12.6,0,1019.1,1013.8,1005.8,0,0
2019,2,20,4,12,6.2,1,11,4.5,-1,97,88.7,76,37,15.8,0,1004.5,995.7,990.2,45.21,0
2019,2,21,5,8,5.8,2,2,0,-2,86,67.2,52,11,5.6,0,1007.2,1004.3,999.9,7.11,0
2019,2,22,6,8,7.1,5,1,-0.6,-2,67,59.3,55,20,13.4,7,1009.5,1007.3,1004.2,0,0
2019,2,23,7,17,10.8,6,13,8.4,-1,94,85.8,58,33,11.6,0,1004.8,995.1,983.9,0.76,0
2019,2,24,1,17,9.1,2,14,0.5,-8,87,56.6,39,57,34.4,19,1005.8,993.5,982.5,27.94,0
2019,2,25,2,7,2.6,-2,-7,-9.7,-13,61,42.4,26,30,10.5,0,1014.8,1011.7,1006.5,0,0
2019,2,26,3,14,6.5,-1,-4,-5.5,-8,75,45.7,26,9,3.6,0,1011.1,1008.6,1004.5,0,0
2019,2,27,4,19,9.5,1,7,0.8,-4,70,55.5,35,26,14.8,0,1004.5,1001.1,997.9,0,0
2019,2,28,5,5,2.5,1,0,-1.5,-3,89,77,65,22,15.9,9,1003.5,1001.1,999.5,0,0
2019,3,1,6,4,2.9,2,1,-0.5,-1,85,80,75,17,10.1,0,1001.8,1000.8,999.2,3.3,0
2019,3,2,7,7,5.2,3,2,0.4,-2,83,72,60,15,8.4,0,1004.5,1003.5,1001.8,0,0
2019,3,3,1,4,1.2,-2,0,-1.9,-6,92,81.2,67,35,20.2,9,1002.5,999.4,996.2,0,0
2019,3,4,2,-3,-6.3,-9,-7,-13.1,-16,72,59.4,46,24,18.8,15,1007.5,1005.7,1002.8,3.56,0
2019,3,5,3,-1,-6.4,-11,-11,-14.2,-16,67,55.5,40,37,19.8,7,1010.8,1007,1004.5,0,0
2019,3,6,4,2,-3.5,-8,-11,-13.4,-15,62,47.9,31,26,14.7,0,1013.8,1011.2,1009.2,0,0
2019,3,7,5,3,0.7,-2,-3,-6.8,-11,75,58.2,37,13,7.3,0,1011.5,1009.4,1006.2,0,0
2019,3,8,6,7,2.3,0,3,-0.1,-3,92,85.9,73,19,8.4,0,1006.2,1002.6,999.9,1.27,0
2019,3,9,7,18,9.8,4,14,7.6,2,93,86.5,65,41,18.5,6,1000.8,989.9,981.9,2.79,0
2019,3,10,1,16,10.5,7,9,2.7,1,68,58.7,44,31,22.5,9,1008.2,999.7,987.2,27.43,0
2019,3,11,2,13,7.9,5,1,-2.4,-5,70,50.2,29,17,8.6,0,1010.5,1009.5,1008.2,0,0
2019,3,12,3,12,6.9,2,-2,-3.6,-5,72,49.5,33,15,6.8,0,1011.8,1009.1,1003.8,0,0
2019,3,13,4,22,14.7,7,6,1.3,-4,50,40.8,31,31,14.8,0,1002.5,997.8,992.9,0,0
2019,3,14,5,26,19.3,14,17,11.8,3,90,63.9,41,69,33.5,6,993.2,987.9,982.9,9.14,0
2019,3,15,6,12,7.1,3,3,0.4,-2,73,62.1,55,31,22.3,9,1007.8,1000.5,992.9,7.37,0
2019,3,16,7,12,5.8,1,-3,-5.3,-10,70,47.7,22,24,12.8,0,1010.8,1008.9,1007.5,0,0
2019,3,17,1,14,6.4,-1,-2,-4.3,-6,72,49.3,26,33,13.2,0,1008.8,1006.4,1003.2,0,0
2019,3,18,2,12,5.9,0,-2,-5.3,-7,70,48,27,19,8.8,0,1011.8,1010.1,1008.5,0,0
2019,3,19,3,12,7.3,1,-3,-5.5,-9,72,43.8,22,9,4.5,0,1013.8,1010.8,1008.2,0,0
2019,3,20,4,17,10.8,5,5,-2.8,-6,77,41.8,21,26,12.7,0,1007.8,1002.5,997.9,0,0
2019,3,21,5,9,7.8,7,6,4,0,89,76.9,60,31,16.5,7,999.9,996.9,995.5,1.52,0
2019,3,22,6,15,8.8,4,2,-0.8,-5,79,54.1,33,33,18.9,9,1005.2,999.9,997.5,0,0
2019,3,23,7,17,8.5,0,-3,-5.8,-9,67,41,17,15,6.3,0,1009.8,1007.1,1005.2,0,0
2019,3,24,1,16,11.8,7,9,2,-6,72,53,27,22,9,0,1005.8,1002,997.5,0,0
2019,3,25,2,13,10.2,5,11,7.1,-6,93,82.1,45,31,15.1,0,1005.8,998.7,994.5,9.91,0
2019,3,26,3,12,6.2,1,-6,-9,-13,59,35.5,23,20,13.6,7,1010.5,1009.1,1006.5,0,0
2019,3,27,4,18,9.6,0,-3,-5.8,-9,73,38.2,15,15,5.4,0,1011.8,1008.5,1005.2,0,0
2019,3,28,5,24,16,6,4,1.7,-3,65,40,25,37,17.2,6,1006.5,1003.6,1000.8,0,0
2019,3,29,6,20,16,13,12,9.1,3,87,65.2,36,28,14.7,6,1002.2,1000,995.5,0,0
2019,3,30,7,20,13.6,4,14,9,-1,93,75.5,48,63,26.3,7,998.5,990.4,985.2,1.27,0
2019,3,31,1,7,3.7,1,-1,-5.3,-7,70,53.5,39,30,20.5,9,1010.8,1006.1,999.9,30.73,0
2019,4,1,2,9,4.1,-2,-6,-7.4,-9,69,45.3,29,17,7.5,0,1012.1,1009,1005.2,0,0
2019,4,2,3,17,10,4,-3,-4.6,-7,57,37.5,23,28,9.1,0,1004.8,1002.1,1000.2,0,0
2019,4,3,4,21,14.2,8,1,-0.9,-4,52,36.4,26,15,8.2,0,1009.2,1006.3,1002.5,0,0
2019,4,4,5,23,17.3,11,9,2.6,0,72,39.3,26,37,13.2,0,1007.2,1004.3,1000.2,0,0
2019,4,5,6,17,14.3,12,11,10.6,9,90,78.9,67,13,6.8,0,1002.2,1000.3,999.2,6.1,0
2019,4,6,7,22,17.5,14,12,10.3,9,84,64.5,44,17,5.8,0,1004.2,1002.1,999.9,0,0
2019,4,7,1,21,17.5,14,17,14.1,8,93,79.7,62,24,11.9,0,1000.2,997.8,994.9,5.08,0
2019,4,8,2,23,19.1,17,16,14.3,13,84,74.5,55,20,10.6,0,996.2,994.6,991.9,9.14,0
2019,4,9,3,23,19,14,14,7.5,1,90,52.7,25,31,12.2,0,993.5,992.3,991.2,0.25,0
2019,4,10,4,24,17.8,10,7,4.5,2,71,43.8,27,19,5.7,0,995.5,992.9,989.5,0,0
2019,4,11,5,29,22.8,14,12,9.3,6,59,42.8,32,37,19.8,0,991.2,989.1,987.5,0,0
2019,4,12,6,26,18.7,14,14,8.8,1,84,56.1,32,70,26.5,0,999.5,992.9,986.9,1.02,0
2019,4,13,7,22,15.4,9,9,5.5,4,77,54.4,34,19,9.5,0,1002.2,998.9,992.2,0.51,0
2019,4,14,1,26,14.7,5,18,10.6,1,93,77.9,40,48,23,0,991.9,983.3,976.2,33.53,0
2019,4,15,2,14,7.4,3,2,0.3,-2,77,62.2,42,28,15,0,1002.8,999.4,992.9,1.27,0
2019,4,16,3,26,17.4,7,8,5,2,74,47.7,30,33,16.5,7,1002.8,1000.3,996.9,0,0
2019,4,17,4,27,22.3,17,12,8.8,7,60,42.5,32,31,16.9,7,999.2,996.1,992.2,0,0
2019,4,18,5,25,20.8,15,16,12.8,9,93,62.2,43,31,20.9,9,991.9,988,984.5,0,0
2019,4,19,6,14,9.3,7,12,7.7,6,94,88.6,83,41,23.8,9,984.9,982.5,980.5,12.95,1
2019,4,20,7,8,6.8,5,6,4.3,3,90,84.6,76,26,12.5,0,994.9,987.3,981.5,56.64,0
2019,4,21,1,23,10.2,4,8,4,0,100,73.9,23,9,2.3,0,1002.8,999.6,994.9,9.4,0
2019,4,22,2,27,18.5,9,9,6.6,3,80,49.5,28,19,9.3,0,1005.2,1002.2,999.2,0,0
2019,4,23,3,29,22.4,17,16,12.7,8,73,54.7,37,37,16.4,6,998.9,997.3,995.9,0,0
2019,4,24,4,26,18.7,14,16,13.5,11,90,73.3,43,35,14.8,0,998.2,995.2,992.2,0,0
2019,4,25,5,25,19.4,17,17,15.8,14,90,79.8,56,50,14.7,0,993.5,988.9,985.2,11.68,0
2019,4,26,6,19,16.1,13,15,9.3,-1,87,67.7,28,39,24.4,13,996.5,988.3,983.2,19.81,0
2019,4,27,7,19,14.3,9,9,4.4,0,72,53.4,28,22,9.9,6,997.5,994,987.2,0,0
2019,4,28,1,19,13.2,9,12,7,4,80,67.3,47,37,20.1,9,1004.2,998.4,986.9,0.76,0
2019,4,29,2,28,18,8,15,10,4,83,62.3,41,31,11.3,0,1003.8,1000.2,996.2,0,0
2019,4,30,3,29,22.7,17,17,14.6,13,81,61.8,41,26,12.1,0,1003.2,1001.2,998.9,0,0
2019,5,1,4,29,23.7,21,19,16.3,13,90,64.9,44,37,17.6,0,1001.2,999.6,998.2,0,0
2019,5,2,5,26,20.7,17,19,17.4,16,93,81.8,54,30,9,0,1002.5,1000.9,998.5,3.3,0
2019,5,3,6,24,19.7,18,17,16.6,14,94,82.7,57,17,9.5,0,998.2,996.6,995.2,30.99,0
2019,5,4,7,21,17.3,14,17,14.6,13,93,85.1,75,26,12.9,0,995.9,993.3,991.9,7.37,0
2019,5,5,1,23,17,13,13,10.4,6,93,68.2,37,22,12.8,0,995.9,993.1,991.2,8.89,0
2019,5,6,2,26,19.6,12,12,9.7,9,86,56.3,36,13,5.6,0,1000.8,999.1,996.2,0,0
2019,5,7,3,27,22.3,15,13,12.1,11,83,54.8,38,13,5.4,0,1002.8,1000.7,999.5,0,0
2019,5,8,4,30,23.7,17,17,14.6,13,84,58.5,43,26,12.7,0,1000.5,997.5,993.5,0,0
2019,5,9,5,25,22.9,20,18,16.7,16,84,67.6,58,33,20.7,11,995.2,993.6,991.5,0,0
2019,5,10,6,20,16.3,13,17,12.2,8,87,76,64,20,14,6,1002.2,999.3,995.5,0,0
2019,5,11,7,21,15.8,11,16,11.1,6,93,74.4,58,19,11,0,1002.5,995.6,988.9,0,0
2019,5,12,1,16,12.9,11,14,10.4,8,93,85.1,72,17,13.1,0,991.9,990.1,988.5,8.64,1
2019,5,13,2,15,12.3,9,8,6.9,6,87,69.8,55,22,14.1,6,998.5,994.9,991.5,0.25,0
2019,5,14,3,22,15.9,9,8,6.4,4,83,56.4,32,13,4.6,0,1000.8,999.1,997.9,0,0
2019,5,15,4,22,16.9,12,12,9.6,8,80,64.2,45,19,8.8,0,999.5,998.2,996.9,0,0
2019,5,16,5,28,20,13,17,14.1,11,89,71.3,44,26,11.5,0,998.9,996,992.9,0,0
2019,5,17,6,32,25.9,18,19,16.3,12,84,57.9,37,28,16,6,995.2,993.7,992.2,0.25,0
2019,5,18,7,32,26.8,20,18,16.7,16,78,55,38,26,15.5,6,996.9,994.9,992.9,0,0
2019,5,19,1,26,22.8,19,19,17.5,15,88,71.9,52,31,21.8,11,994.9,993.1,991.9,0,0
2019,5,20,2,25,20,16,17,12.6,10,93,64,40,24,12.9,0,999.9,998,994.5,9.4,0
2019,5,21,3,26,18.5,13,15,11.3,8,75,63.8,50,26,17.6,11,1000.8,997.8,994.9,0,0
2019,5,22,4,28,23.9,19,22,18.2,13,82,70.2,60,22,13.7,7,999.2,997.1,994.9,0,0
2019,5,23,5,32,26.5,23,22,19.7,17,82,66.7,51,31,16.4,6,1003.5,1001.2,999.2,2.54,0
2019,5,24,6,32,27.9,22,22,19,17,87,60.2,39,24,12.4,0,1002.5,1000.8,998.5,1.78,0
2019,5,25,7,32,28.2,24,20,17.9,16,71,54.6,38,37,17.3,6,1001.2,999.9,999.2,0,0
2019,5,26,1,31,24.4,22,21,19.4,17,90,74.5,49,43,13.7,0,1000.5,999.6,997.9,0,0
2019,5,27,2,32,23.5,20,22,19.8,19,94,81.7,49,22,8.4,0,999.9,997.9,992.2,10.41,1
2019,5,28,3,32,29.2,25,20,18.8,18,71,54.1,43,31,21.8,9,993.5,991.8,990.2,0,0
2019,5,29,4,27,23,21,21,19,17,93,80.2,60,44,14,0,994.9,992.5,990.2,0,0
2019,5,30,5,24,22.1,21,20,18.7,18,90,81.9,71,26,12.5,0,994.2,992.6,991.2,28.7,0
2019,5,31,6,26,23.1,20,18,15.6,13,87,64.5,50,28,15.5,6,995.2,994.2,992.5,4.57,0
2019,6,1,7,28,23.5,18,17,15.9,14,87,63.1,44,20,9.3,0,996.2,994.1,991.9,0,0
2019,6,2,1,29,24.3,19,18,15.1,10,81,57.3,41,28,16,0,997.2,993,990.9,0,0
2019,6,3,2,26,21.4,16,11,7,4,55,40.3,30,20,8.2,0,1002.5,1000.9,997.5,0,0
2019,6,4,3,28,22.8,16,16,12.1,10,75,52.3,36,22,12.7,0,1001.8,999.1,994.5,0,0
2019,6,5,4,32,25.1,20,22,18.3,14,93,67.4,48,30,18.3,9,995.5,992.7,989.2,2.29,0
2019,6,6,5,28,24,21,22,20.2,18,90,79.7,60,17,7.4,0,993.5,992.4,991.2,15.75,0
2019,6,7,6,25,22.8,21,21,19.4,16,90,82.1,62,35,15,6,992.9,991.5,990.5,2.29,0
2019,6,8,7,28,23.7,21,22,20.1,19,90,80.7,62,24,16.6,9,992.9,991.8,990.2,10.67,0
2019,6,9,1,27,23.6,22,22,21,19,94,85.5,71,17,8.5,0,994.9,993.8,992.2,10.41,0
2019,6,10,2,26,23,19,21,18.5,10,94,77.1,43,31,14.4,0,1003.8,997,993.9,26.92,0
2019,6,11,3,25,20,14,12,8.6,5,88,51,29,30,10.1,0,1006.5,1003.8,1001.2,0,0
2019,6,12,4,24,20.2,15,16,12.5,9,78,61.3,53,24,11.3,0,1000.8,995.5,991.2,0,0
2019,6,13,5,22,18.8,16,12,8.8,4,75,54.8,33,41,23.8,7,1001.2,995,990.9,0,0
2019,6,14,6,26,19.7,11,11,8.2,6,83,50.4,32,24,11.2,0,1004.5,1001.7,998.9,0,0
2019,6,15,7,29,25.4,21,19,14.9,10,58,52,47,30,21.1,11,998.9,996.2,992.2,0,0
2019,6,16,1,32,23.6,21,22,19.1,17,90,77.1,53,39,17.3,0,996.9,994.3,992.2,8.64,1
2019,6,17,2,29,24,21,22,20.3,19,93,80.6,61,20,11.9,0,997.5,996.3,994.5,42.16,0
2019,6,18,3,28,23.6,22,22,20.7,19,94,83.1,58,22,12,0,996.9,995.2,992.2,17.02,0
2019,6,19,4,31,25.2,22,22,20.7,19,91,76.5,53,22,10.8,0,992.9,989.1,985.5,1.52,0
2019,6,20,5,26,23,21,20,18,16,90,74.3,56,35,19.3,6,994.2,988.1,985.2,3.3,0
2019,6,21,6,28,22.8,17,19,16,14,87,67.8,42,33,11.5,0,998.9,996.9,993.9,0,0
2019,6,22,7,28,22.4,20,20,18.9,18,93,81.7,62,20,9.3,0,1000.2,998.2,996.2,11.43,0
2019,6,23,1,31,23.7,20,23,19.7,17,88,79,61,65,15.7,0,999.9,996.4,991.9,9.65,0
2019,6,24,2,27,23.8,22,22,20,18,88,79.5,60,33,16.1,6,993.2,990.5,988.5,12.7,0
2019,6,25,3,29,25,20,19,17.1,15,87,63.5,41,22,11.9,6,999.9,997.5,993.5,18.03,0
2019,6,26,4,32,27.6,21,21,18.5,17,78,58.7,43,20,12,0,1003.5,1001.6,1000.2,0,0
2019,6,27,5,32,27.3,22,19,17.6,17,73,56.6,40,20,10.9,0,1005.2,1003.8,1002.2,0,0
2019,6,28,6,34,28,22,22,18.3,16,75,57.4,42,13,7.5,0,1005.2,1003.7,1001.5,0,0
2019,6,29,7,34,29.2,24,22,20.3,19,76,59.1,43,15,8.5,0,1003.8,1001.8,999.5,0,0
2019,6,30,1,34,26.7,22,22,20.6,17,91,70.2,48,54,15.9,0,1000.8,999,996.5,0,0
2019,7,1,2,33,25.9,21,22,20.2,18,91,71.9,52,41,9.9,0,1000.5,998.7,997.2,5.84,0
2019,7,2,3,34,28.8,24,23,21.2,19,87,65.1,48,30,10.9,0,998.5,996.7,994.2,0,0
2019,7,3,4,32,26.4,23,23,21.2,19,88,73.6,55,24,10.3,0,997.5,996,994.5,0,0
2019,7,4,5,33,26.6,22,23,21.1,20,90,72.6,50,19,9.7,0,999.5,997.9,996.5,13.97,1
2019,7,5,6,33,28.3,24,23,22,21,87,69.5,52,20,10.6,0,1000.5,999.2,997.9,0,0
2019,7,6,7,31,27.7,24,22,22,21,87,71.1,59,17,10.8,6,999.5,997.6,995.2,0,0
2019,7,7,1,33,29,24,24,22.2,21,87,67.7,48,19,8.7,0,996.5,995.1,993.5,0,0
2019,7,8,2,32,28,23,21,19.6,18,82,61.3,45,19,12.6,7,997.5,996.4,995.2,0.76,0
2019,7,9,3,33,28.3,23,21,19.4,18,76,59.3,45,13,6.2,0,998.9,997.4,996.5,0,0
2019,7,10,4,33,29.1,24,24,21.9,21,82,65.7,52,22,7.7,0,998.5,997.1,995.2,0,0
2019,7,11,5,33,29.2,26,24,21.4,18,87,64.8,45,24,12.4,0,995.2,994,992.2,0,0
2019,7,12,6,32,27.2,23,19,15.4,13,76,50.9,31,17,9.6,0,997.2,995.8,993.9,0,0
2019,7,13,7,33,27.2,20,19,15.9,13,76,51.8,35,15,6.9,0,1000.2,998.9,996.9,0,0
2019,7,14,1,33,28.4,24,22,21.1,18,79,64.3,48,26,12.7,0,1003.5,1001.9,1000.5,0,0
2019,7,15,2,31,27.8,24,22,20.6,19,79,65.1,49,19,9.7,0,1002.5,1001.3,999.5,0,0
2019,7,16,3,32,27.6,24,23,21.2,19,82,68.1,46,33,20.2,9,999.5,997.8,995.5,0,0
2019,7,17,4,33,26.8,24,23,22.4,21,94,77.1,54,24,16,9,997.5,996.3,995.2,2.03,0
2019,7,18,5,34,28.4,24,24,22.8,21,91,73.6,46,19,11.1,6,997.9,996.5,995.2,2.29,0
2019,7,19,6,35,30.4,26,24,23,22,81,66,49,26,14.4,7,998.9,997.4,996.2,0,0
2019,7,20,7,35,30.8,27,24,22.6,22,81,62.8,47,24,11.9,6,998.9,997,995.5,0,0
2019,7,21,1,33,28.9,24,24,22.4,21,84,68,54,31,14.4,0,997.5,996,994.5,0,0
2019,7,22,2,28,24.3,22,22,20.7,16,91,79.4,62,26,11.7,0,998.2,995.5,994.2,4.57,0
2019,7,23,3,28,23,17,17,13.5,10,81,57.5,32,26,17.5,7,1000.2,999,997.9,0,0
2019,7,24,4,29,23.2,18,14,12.3,9,78,52.3,29,22,12.8,0,1002.5,1001.1,999.5,0,0
2019,7,25,5,30,24,18,14,12.9,11,75,52,32,11,6.2,0,1005.2,1003.5,1002.2,0,0
2019,7,26,6,31,25.7,19,17,14.8,12,79,53.3,33,15,6,0,1006.8,1005.2,1004.2,0,0
2019,7,27,7,33,27.1,21,18,16.8,15,81,55.7,34,24,10.3,0,1006.8,1005.1,1003.5,0,0
2019,7,28,1,33,27.8,22,19,17.8,16,81,56.8,35,19,10,0,1004.5,1002.8,1000.5,0,0
2019,7,29,2,33,27.2,23,21,18.7,17,90,62.9,38,35,15.5,0,1000.5,998.3,996.2,0,0
2019,7,30,3,31,25.6,23,22,20.8,19,93,75.6,55,26,10.9,0,998.9,997.8,996.2,8.13,0
2019,7,31,4,32,25.3,21,21,18.8,17,84,69.1,40,17,8.3,0,1001.5,1000,998.5,0,0
2019,8,1,5,32,26.7,21,18,17,16,78,57.1,39,17,10.6,6,1001.8,1000.4,998.5,0,0
2019,8,2,6,33,27.3,22,19,18.3,17,87,60,39,19,10.6,0,1000.8,999.5,997.9,0,0
2019,8,3,7,33,27.9,22,19,17,15,75,53.7,35,17,9.7,0,999.9,998.4,996.5,0,0
2019,8,4,1,33,27.9,22,18,15.7,13,71,49,31,19,9.4,0,999.2,997.8,996.2,0,0
2019,8,5,2,34,27.4,22,19,16.5,14,79,53.7,31,17,5.9,0,998.5,996.8,994.9,0,0
2019,8,6,3,34,28.2,22,22,19.3,17,76,59.5,42,26,14.5,0,995.9,993.4,990.5,0,0
2019,8,7,4,32,25.2,22,21,17.8,16,81,65.6,38,20,10.7,0,994.5,993.3,991.9,0,0
2019,8,8,5,33,27.5,22,21,18.6,17,84,61.1,40,24,10.8,0,995.5,994.5,993.5,0,0
2019,8,9,6,34,28.7,24,22,19.9,17,85,60.6,41,20,11.4,0,996.2,995.1,993.9,0,0
2019,8,10,7,32,26.8,21,18,14.5,12,73,49.3,29,20,9.5,0,998.2,996.9,995.9,0,0
2019,8,11,1,33,26.8,21,16,13.8,12,65,46.6,27,13,5.8,0,1000.2,998.5,997.2,0,0
2019,8,12,2,32,27,22,21,18.2,16,78,59.7,46,22,9.4,0,997.2,995.5,992.5,0,0
2019,8,13,3,31,26.6,23,23,21.6,20,87,73.6,61,37,14.9,0,994.5,992.5,990.2,2.79,0
2019,8,14,4,33,27.8,23,22,19.6,17,91,63.5,39,24,13,0,996.5,995.2,994.2,12.19,0
2019,8,15,5,30,25.8,21,18,17,15,81,58.9,40,24,13,7,997.9,996.9,995.9,0,0
2019,8,16,6,33,26.6,21,19,17.4,16,81,59.3,38,19,8.4,0,998.9,997.4,995.9,0,0
2019,8,17,7,34,29,23,21,20,19,81,59.3,42,22,10.4,0,998.2,996.5,995.2,0,0
2019,8,18,1,36,30.2,24,21,19.3,16,79,53.7,31,22,12.1,0,997.9,996.1,994.9,0,0
2019,8,19,2,37,29.5,23,22,20.4,18,87,60,35,19,9.4,0,999.5,998.1,996.9,0.25,0
2019,8,20,3,36,27.9,23,22,20.5,17,82,65.6,39,50,15.3,0,1000.5,999.2,997.5,0,0
2019,8,21,4,33,27.5,22,23,20.1,18,87,66.2,43,20,11.6,6,998.9,997.7,995.9,0.51,0
